datetime;W
20160121:1755;0
20160121:1855;0
20160121:1955;0
20160121:2055;0
20160121:2155;0
20160121:2255;0
20160121:2355;0
20160122:0055;0
20160122:0155;0
20160122:0255;0
20160122:0355;0
20160122:0455;0
20160122:0555;0
20160122:0655;0
20160122:0755;8,47
20160122:0855;2498,28
20160122:0955;5625,32
20160122:1055;5959,45
20160122:1155;8114,14
20160122:1255;5293,02
20160122:1355;3128,05
20160122:1455;0
20160122:1555;851,27
20160122:1655;0
20160122:1755;0
20160122:1855;0
20160122:1955;0
20160122:2055;0
20160122:2155;0
20160122:2255;0
20160122:2355;0
20160123:0055;0
20160123:0155;0
20160123:0255;0
20160123:0355;0
20160123:0455;0
20160123:0555;0
20160123:0655;0
20160123:0755;294,72
20160123:0855;3277,97
20160123:0955;5421,92
20160123:1055;8943,42
20160123:1155;7142,67
20160123:1255;6435,15
20160123:1355;6672,73
20160123:1455;1808,84
20160123:1555;0
20160123:1655;0
20160123:1755;0
20160123:1855;0
20160123:1955;0
20160123:2055;0
20160123:2155;0
20160123:2255;0
20160123:2355;0
20160124:0055;0
20160124:0155;0
20160124:0255;0
20160124:0355;0
20160124:0455;0
20160124:0555;0
20160124:0655;0
20160124:0755;304,57
20160124:0855;2965,37
20160124:0955;5547,19
20160124:1055;9831,16
20160124:1155;10682,96
20160124:1255;8907,56
20160124:1355;8241,7
20160124:1455;3134,65
20160124:1555;0
20160124:1655;0
20160124:1755;0
20160124:1855;0
20160124:1955;0
20160124:2055;0
20160124:2155;0
20160124:2255;0
20160124:2355;0
20160125:0055;0
20160125:0155;0
20160125:0255;0
20160125:0355;0
20160125:0455;0
20160125:0555;0
20160125:0655;0
20160125:0755;395,46
20160125:0855;6235,12
20160125:0955;13216,41
20160125:1055;18000,14
20160125:1155;19886,59
20160125:1255;18453,32
20160125:1355;13982,95
20160125:1455;6747,95
20160125:1555;1156,36
20160125:1655;0
20160125:1755;0
20160125:1855;0
20160125:1955;0
20160125:2055;0
20160125:2155;0
20160125:2255;0
20160125:2355;0
20160126:0055;0
20160126:0155;0
20160126:0255;0
20160126:0355;0
20160126:0455;0
20160126:0555;0
20160126:0655;0
20160126:0755;453,86
20160126:0855;2093,45
20160126:0955;5002,54
20160126:1055;9873,84
20160126:1155;15742,56
20160126:1255;12362,24
20160126:1355;12962,49
20160126:1455;5787,63
20160126:1555;0
20160126:1655;0
20160126:1755;0
20160126:1855;0
20160126:1955;0
20160126:2055;0
20160126:2155;0
20160126:2255;0
20160126:2355;0
20160127:0055;0
20160127:0155;0
20160127:0255;0
20160127:0355;0
20160127:0455;0
20160127:0555;0
20160127:0655;0
20160127:0755;0
20160127:0855;0
20160127:0955;6690,28
20160127:1055;12954,48
20160127:1155;8985,11
20160127:1255;5275,2
20160127:1355;3714,08
20160127:1455;2273,05
20160127:1555;0
20160127:1655;0
20160127:1755;0
20160127:1855;0
20160127:1955;0
20160127:2055;0
20160127:2155;0
20160127:2255;0
20160127:2355;0
20160128:0055;0
20160128:0155;0
20160128:0255;0
20160128:0355;0
20160128:0455;0
20160128:0555;0
20160128:0655;0
20160128:0755;737,76
20160128:0855;6270,24
20160128:0955;13106,27
20160128:1055;9159,68
20160128:1155;8747,66
20160128:1255;8301,49
20160128:1355;7989,41
20160128:1455;4985,51
20160128:1555;1517,17
20160128:1655;0
20160128:1755;0
20160128:1855;0
20160128:1955;0
20160128:2055;0
20160128:2155;0
20160128:2255;0
20160128:2355;0
20160129:0055;0
20160129:0155;0
20160129:0255;0
20160129:0355;0
20160129:0455;0
20160129:0555;0
20160129:0655;0
20160129:0755;692,31
20160129:0855;5759,35
20160129:0955;8763,37
20160129:1055;12119,3
20160129:1155;9760,05
20160129:1255;5227,87
20160129:1355;2520,7
20160129:1455;23,78
20160129:1555;157,16
20160129:1655;0
20160129:1755;0
20160129:1855;0
20160129:1955;0
20160129:2055;0
20160129:2155;0
20160129:2255;0
20160129:2355;0
20160130:0055;0
20160130:0155;0
20160130:0255;0
20160130:0355;0
20160130:0455;0
20160130:0555;0
20160130:0655;0
20160130:0755;739,6
20160130:0855;3487,81
20160130:0955;138,7
20160130:1055;5314,38
20160130:1155;4431,31
20160130:1255;4587,92
20160130:1355;3056,78
20160130:1455;1292,46
20160130:1555;1091,63
20160130:1655;0
20160130:1755;0
20160130:1855;0
20160130:1955;0
20160130:2055;0
20160130:2155;0
20160130:2255;0
20160130:2355;0
20160131:0055;0
20160131:0155;0
20160131:0255;0
20160131:0355;0
20160131:0455;0
20160131:0555;0
20160131:0655;0
20160131:0755;264,47
20160131:0855;2152,34
20160131:0955;4383,22
20160131:1055;5728,62
20160131:1155;6299,75
20160131:1255;6767,92
20160131:1355;6039,89
20160131:1455;1188,34
20160131:1555;1331,4
20160131:1655;0
20160131:1755;0
20160131:1855;0
20160131:1955;0
20160131:2055;0
20160131:2155;0
20160131:2255;0
20160131:2355;0
20160201:0055;0
20160201:0155;0
20160201:0255;0
20160201:0355;0
20160201:0455;0
20160201:0555;0
20160201:0655;0
20160201:0755;0
20160201:0855;448,18
20160201:0955;2029,82
20160201:1055;3211,91
20160201:1155;6998,28
20160201:1255;7665,76
20160201:1355;6190,44
20160201:1455;3987,65
20160201:1555;670,36
20160201:1655;0
20160201:1755;0
20160201:1855;0
20160201:1955;0
20160201:2055;0
20160201:2155;0
20160201:2255;0
20160201:2355;0
20160202:0055;0
20160202:0155;0
20160202:0255;0
20160202:0355;0
20160202:0455;0
20160202:0555;0
20160202:0655;0
20160202:0755;1113,82
20160202:0855;717,55
20160202:0955;2379,2
20160202:1055;5173,66
20160202:1155;3891,92
20160202:1255;12175,04
20160202:1355;7220,33
20160202:1455;4788,55
20160202:1555;448,26
20160202:1655;0
20160202:1755;0
20160202:1855;0
20160202:1955;0
20160202:2055;0
20160202:2155;0
20160202:2255;0
20160202:2355;0
20160203:0055;0
20160203:0155;0
20160203:0255;0
20160203:0355;0
20160203:0455;0
20160203:0555;0
20160203:0655;0
20160203:0755;1279,91
20160203:0855;8835,18
20160203:0955;15925,62
20160203:1055;22451,26
20160203:1155;12337,56
20160203:1255;22521,95
20160203:1355;11876,69
20160203:1455;1674,92
20160203:1555;3278,53
20160203:1655;0
20160203:1755;0
20160203:1855;0
20160203:1955;0
20160203:2055;0
20160203:2155;0
20160203:2255;0
20160203:2355;0
20160204:0055;0
20160204:0155;0
20160204:0255;0
20160204:0355;0
20160204:0455;0
20160204:0555;0
20160204:0655;0
20160204:0755;820,29
20160204:0855;3634,96
20160204:0955;1432,05
20160204:1055;5158,52
20160204:1155;13472,18
20160204:1255;4897,59
20160204:1355;8354,84
20160204:1455;3264,84
20160204:1555;1773,08
20160204:1655;0
20160204:1755;0
20160204:1855;0
20160204:1955;0
20160204:2055;0
20160204:2155;0
20160204:2255;0
20160204:2355;0
20160205:0055;0
20160205:0155;0
20160205:0255;0
20160205:0355;0
20160205:0455;0
20160205:0555;0
20160205:0655;0
20160205:0755;682,42
20160205:0855;2295,9
20160205:0955;5258,88
20160205:1055;8514,75
20160205:1155;6486,82
20160205:1255;4472,58
20160205:1355;3372,71
20160205:1455;207,71
20160205:1555;280,96
20160205:1655;0
20160205:1755;0
20160205:1855;0
20160205:1955;0
20160205:2055;0
20160205:2155;0
20160205:2255;0
20160205:2355;0
20160206:0055;0
20160206:0155;0
20160206:0255;0
20160206:0355;0
20160206:0455;0
20160206:0555;0
20160206:0655;0
20160206:0755;118,96
20160206:0855;4817,23
20160206:0955;215,14
20160206:1055;5159,58
20160206:1155;17925,19
20160206:1255;20907,2
20160206:1355;18118,91
20160206:1455;10693,88
20160206:1555;3087,19
20160206:1655;0
20160206:1755;0
20160206:1855;0
20160206:1955;0
20160206:2055;0
20160206:2155;0
20160206:2255;0
20160206:2355;0
20160207:0055;0
20160207:0155;0
20160207:0255;0
20160207:0355;0
20160207:0455;0
20160207:0555;0
20160207:0655;0
20160207:0755;0
20160207:0855;9050,86
20160207:0955;17207,8
20160207:1055;23758,93
20160207:1155;26083,11
20160207:1255;24749,54
20160207:1355;16545,72
20160207:1455;6174,15
20160207:1555;4066,55
20160207:1655;0
20160207:1755;0
20160207:1855;0
20160207:1955;0
20160207:2055;0
20160207:2155;0
20160207:2255;0
20160207:2355;0
20160208:0055;0
20160208:0155;0
20160208:0255;0
20160208:0355;0
20160208:0455;0
20160208:0555;0
20160208:0655;0
20160208:0755;502,44
20160208:0855;6243,43
20160208:0955;17060,32
20160208:1055;20743,54
20160208:1155;18847,12
20160208:1255;24851,42
20160208:1355;19251,97
20160208:1455;748,89
20160208:1555;4251,55
20160208:1655;0
20160208:1755;0
20160208:1855;0
20160208:1955;0
20160208:2055;0
20160208:2155;0
20160208:2255;0
20160208:2355;0
20160209:0055;0
20160209:0155;0
20160209:0255;0
20160209:0355;0
20160209:0455;0
20160209:0555;0
20160209:0655;0
20160209:0755;0
20160209:0855;2116,3
20160209:0955;17113,74
20160209:1055;17371,85
20160209:1155;17867,72
20160209:1255;9118,24
20160209:1355;9270,91
20160209:1455;4885,39
20160209:1555;2307,87
20160209:1655;0
20160209:1755;0
20160209:1855;0
20160209:1955;0
20160209:2055;0
20160209:2155;0
20160209:2255;0
20160209:2355;0
20160210:0055;0
20160210:0155;0
20160210:0255;0
20160210:0355;0
20160210:0455;0
20160210:0555;0
20160210:0655;0
20160210:0755;2638,78
20160210:0855;10957,79
20160210:0955;19346,06
20160210:1055;25185,12
20160210:1155;26666,54
20160210:1255;19021,56
20160210:1355;18877,49
20160210:1455;8456,29
20160210:1555;2924,96
20160210:1655;0
20160210:1755;0
20160210:1855;0
20160210:1955;0
20160210:2055;0
20160210:2155;0
20160210:2255;0
20160210:2355;0
20160211:0055;0
20160211:0155;0
20160211:0255;0
20160211:0355;0
20160211:0455;0
20160211:0555;0
20160211:0655;0
20160211:0755;2144,7
20160211:0855;10407,05
20160211:0955;18885,85
20160211:1055;25498,46
20160211:1155;27730,89
20160211:1255;9914,49
20160211:1355;9014,4
20160211:1455;4707,81
20160211:1555;3636,22
20160211:1655;0
20160211:1755;0
20160211:1855;0
20160211:1955;0
20160211:2055;0
20160211:2155;0
20160211:2255;0
20160211:2355;0
20160212:0055;0
20160212:0155;0
20160212:0255;0
20160212:0355;0
20160212:0455;0
20160212:0555;0
20160212:0655;0
20160212:0755;210,66
20160212:0855;5070
20160212:0955;6015,19
20160212:1055;9397,13
20160212:1155;8201,8
20160212:1255;7152,98
20160212:1355;6750,62
20160212:1455;2152,56
20160212:1555;3302,9
20160212:1655;0
20160212:1755;0
20160212:1855;0
20160212:1955;0
20160212:2055;0
20160212:2155;0
20160212:2255;0
20160212:2355;0
20160213:0055;0
20160213:0155;0
20160213:0255;0
20160213:0355;0
20160213:0455;0
20160213:0555;0
20160213:0655;0
20160213:0755;582,15
20160213:0855;2939,67
20160213:0955;4242,78
20160213:1055;16467,91
20160213:1155;27267,89
20160213:1255;11720,12
20160213:1355;5858,16
20160213:1455;3904,57
20160213:1555;1654,34
20160213:1655;0
20160213:1755;0
20160213:1855;0
20160213:1955;0
20160213:2055;0
20160213:2155;0
20160213:2255;0
20160213:2355;0
20160214:0055;0
20160214:0155;0
20160214:0255;0
20160214:0355;0
20160214:0455;0
20160214:0555;0
20160214:0655;0
20160214:0755;3456,18
20160214:0855;5580,4
20160214:0955;14289,26
20160214:1055;18780,23
20160214:1155;11360,82
20160214:1255;525,67
20160214:1355;3680,04
20160214:1455;6416,05
20160214:1555;3139,45
20160214:1655;0
20160214:1755;0
20160214:1855;0
20160214:1955;0
20160214:2055;0
20160214:2155;0
20160214:2255;0
20160214:2355;0
20160215:0055;0
20160215:0155;0
20160215:0255;0
20160215:0355;0
20160215:0455;0
20160215:0555;0
20160215:0655;0
20160215:0755;3867,79
20160215:0855;12996,05
20160215:0955;20880,98
20160215:1055;10515,31
20160215:1155;16714,62
20160215:1255;16973,63
20160215:1355;7121,45
20160215:1455;14736,02
20160215:1555;6369,88
20160215:1655;10,93
20160215:1755;0
20160215:1855;0
20160215:1955;0
20160215:2055;0
20160215:2155;0
20160215:2255;0
20160215:2355;0
20160216:0055;0
20160216:0155;0
20160216:0255;0
20160216:0355;0
20160216:0455;0
20160216:0555;0
20160216:0655;0
20160216:0755;4421,93
20160216:0855;14096,59
20160216:0955;23137,03
20160216:1055;29177,28
20160216:1155;31532,12
20160216:1255;30049,15
20160216:1355;24926,98
20160216:1455;16701,06
20160216:1555;7009,61
20160216:1655;83,75
20160216:1755;0
20160216:1855;0
20160216:1955;0
20160216:2055;0
20160216:2155;0
20160216:2255;0
20160216:2355;0
20160217:0055;0
20160217:0155;0
20160217:0255;0
20160217:0355;0
20160217:0455;0
20160217:0555;0
20160217:0655;0
20160217:0755;4716,29
20160217:0855;6467,86
20160217:0955;13394,73
20160217:1055;23753,4
20160217:1155;20286,98
20160217:1255;22038,12
20160217:1355;24732,61
20160217:1455;14198,31
20160217:1555;4577,71
20160217:1655;168,44
20160217:1755;0
20160217:1855;0
20160217:1955;0
20160217:2055;0
20160217:2155;0
20160217:2255;0
20160217:2355;0
20160218:0055;0
20160218:0155;0
20160218:0255;0
20160218:0355;0
20160218:0455;0
20160218:0555;0
20160218:0655;0
20160218:0755;3634,58
20160218:0855;3148,19
20160218:0955;6043,8
20160218:1055;9325,13
20160218:1155;12662,28
20160218:1255;8810,22
20160218:1355;10481,86
20160218:1455;6133,02
20160218:1555;3649,61
20160218:1655;250,71
20160218:1755;0
20160218:1855;0
20160218:1955;0
20160218:2055;0
20160218:2155;0
20160218:2255;0
20160218:2355;0
20160219:0055;0
20160219:0155;0
20160219:0255;0
20160219:0355;0
20160219:0455;0
20160219:0555;0
20160219:0655;0
20160219:0755;4966,15
20160219:0855;13557,72
20160219:0955;23321,5
20160219:1055;29051,34
20160219:1155;28279,23
20160219:1255;16897,78
20160219:1355;22421,07
20160219:1455;15226,37
20160219:1555;5701,37
20160219:1655;293,81
20160219:1755;0
20160219:1855;0
20160219:1955;0
20160219:2055;0
20160219:2155;0
20160219:2255;0
20160219:2355;0
20160220:0055;0
20160220:0155;0
20160220:0255;0
20160220:0355;0
20160220:0455;0
20160220:0555;0
20160220:0655;0
20160220:0755;340,5
20160220:0855;5655,66
20160220:0955;8610,29
20160220:1055;9183,53
20160220:1155;12262
20160220:1255;9379,96
20160220:1355;8009,75
20160220:1455;3396,4
20160220:1555;1337,68
20160220:1655;0
20160220:1755;0
20160220:1855;0
20160220:1955;0
20160220:2055;0
20160220:2155;0
20160220:2255;0
20160220:2355;0
20160221:0055;0
20160221:0155;0
20160221:0255;0
20160221:0355;0
20160221:0455;0
20160221:0555;0
20160221:0655;0
20160221:0755;1774,28
20160221:0855;5354,75
20160221:0955;10300,98
20160221:1055;10667,79
20160221:1155;7892,79
20160221:1255;12221,25
20160221:1355;11016,93
20160221:1455;5201,15
20160221:1555;2248,91
20160221:1655;0
20160221:1755;0
20160221:1855;0
20160221:1955;0
20160221:2055;0
20160221:2155;0
20160221:2255;0
20160221:2355;0
20160222:0055;0
20160222:0155;0
20160222:0255;0
20160222:0355;0
20160222:0455;0
20160222:0555;0
20160222:0655;0
20160222:0755;1992,26
20160222:0855;6607,33
20160222:0955;11495,21
20160222:1055;9830,82
20160222:1155;15087,42
20160222:1255;8362,32
20160222:1355;10214,14
20160222:1455;6803,04
20160222:1555;5227,77
20160222:1655;403,14
20160222:1755;0
20160222:1855;0
20160222:1955;0
20160222:2055;0
20160222:2155;0
20160222:2255;0
20160222:2355;0
20160223:0055;0
20160223:0155;0
20160223:0255;0
20160223:0355;0
20160223:0455;0
20160223:0555;0
20160223:0655;0
20160223:0755;5482,36
20160223:0855;13466,64
20160223:0955;21969,18
20160223:1055;29859,27
20160223:1155;26870,55
20160223:1255;20712,1
20160223:1355;16594,08
20160223:1455;14207,04
20160223:1555;389,71
20160223:1655;748,12
20160223:1755;0
20160223:1855;0
20160223:1955;0
20160223:2055;0
20160223:2155;0
20160223:2255;0
20160223:2355;0
20160224:0055;0
20160224:0155;0
20160224:0255;0
20160224:0355;0
20160224:0455;0
20160224:0555;0
20160224:0655;0
20160224:0755;5829,22
20160224:0855;12207,59
20160224:0955;15614,59
20160224:1055;15482,33
20160224:1155;10409,93
20160224:1255;10401,38
20160224:1355;8921,05
20160224:1455;3500,9
20160224:1555;1897,42
20160224:1655;816,67
20160224:1755;0
20160224:1855;0
20160224:1955;0
20160224:2055;0
20160224:2155;0
20160224:2255;0
20160224:2355;0
20160225:0055;0
20160225:0155;0
20160225:0255;0
20160225:0355;0
20160225:0455;0
20160225:0555;0
20160225:0655;18,25
20160225:0755;7015,32
20160225:0855;17255,77
20160225:0955;26139,35
20160225:1055;31834,02
20160225:1155;30588,03
20160225:1255;18743,25
20160225:1355;25840,4
20160225:1455;15376,33
20160225:1555;673,63
20160225:1655;1010,45
20160225:1755;0
20160225:1855;0
20160225:1955;0
20160225:2055;0
20160225:2155;0
20160225:2255;0
20160225:2355;0
20160226:0055;0
20160226:0155;0
20160226:0255;0
20160226:0355;0
20160226:0455;0
20160226:0555;0
20160226:0655;122,9
20160226:0755;5134,89
20160226:0855;16895,43
20160226:0955;25817,94
