Datetime;W;W
26/03/2019 09:00;6701;8020
26/03/2019 10:00;7644;7570
26/03/2019 11:00;15568;13653
26/03/2019 12:00;13841;12749
26/03/2019 13:00;11858;13106
26/03/2019 14:00;12718;10604
26/03/2019 15:00;8771;6418
26/03/2019 16:00;8270;7883
26/03/2019 17:00;5225;5177
26/03/2019 18:00;4726;4365
26/03/2019 19:00;3765;3949
26/03/2019 20:00;3141;3082
26/03/2019 21:00;3301;4350
26/03/2019 22:00;3016;2421
26/03/2019 23:00;3058;4923
27/03/2019 00:00;3844;2981
27/03/2019 01:00;3301;2712
27/03/2019 02:00;2946;2436
27/03/2019 03:00;2679;2946
27/03/2019 04:00;2618;3553
27/03/2019 05:00;3163;2839
27/03/2019 06:00;3143;2465
27/03/2019 07:00;2375;2854
27/03/2019 08:00;6013;10575
27/03/2019 09:00;7513;9699
27/03/2019 10:00;11363;7828
27/03/2019 11:00;6506;13108
27/03/2019 12:00;13331;14911
27/03/2019 13:00;16901;15691
27/03/2019 14:00;15476;11746
27/03/2019 15:00;9590;9831
27/03/2019 16:00;6449;4761
27/03/2019 17:00;4054;4113
27/03/2019 18:00;5013;4078
27/03/2019 19:00;3498;2907
27/03/2019 20:00;2977;2773
27/03/2019 21:00;2951;3776
27/03/2019 22:00;2333;2360
27/03/2019 23:00;2513;4621
28/03/2019 00:00;4468;3721
28/03/2019 01:00;2754;2261
28/03/2019 02:00;2371;2161
28/03/2019 03:00;2053;2397
28/03/2019 04:00;3268;2502
28/03/2019 05:00;2434;2121
28/03/2019 06:00;3301;4991
28/03/2019 07:00;4698;3579
28/03/2019 08:00;12843;8703
28/03/2019 09:00;6197;8607
28/03/2019 10:00;11400;16759
28/03/2019 11:00;10763;10393
28/03/2019 12:00;15743;15594
28/03/2019 13:00;12771;14478
28/03/2019 14:00;8250;7574
28/03/2019 15:00;5893;5711
28/03/2019 16:00;2647;4997
28/03/2019 17:00;3115;3049
28/03/2019 18:00;2239;3467
28/03/2019 19:00;2861;2550
28/03/2019 20:00;2428;2318
28/03/2019 21:00;2312;2760
28/03/2019 22:00;3084;2697
28/03/2019 23:00;2530;5061
29/03/2019 00:00;4768;4514
29/03/2019 01:00;2922;3093
29/03/2019 02:00;2576;2049
29/03/2019 03:00;2423;2309
29/03/2019 04:00;2596;2892
29/03/2019 05:00;2721;2898
29/03/2019 06:00;2244;2964
29/03/2019 07:00;4172;6125
29/03/2019 08:00;8207;3367
29/03/2019 09:00;7033;6933
29/03/2019 10:00;7670;7964
29/03/2019 11:00;10437;11022
29/03/2019 12:00;12613;11696
29/03/2019 13:00;11024;12212
29/03/2019 14:00;10043;7648
29/03/2019 15:00;7116;4923
29/03/2019 16:00;4895;4061
29/03/2019 17:00;4378;4525
29/03/2019 18:00;3008;2736
29/03/2019 19:00;2822;1747
29/03/2019 20:00;3104;4483
29/03/2019 21:00;5943;4547
29/03/2019 22:00;2261;2288
29/03/2019 23:00;2358;3879
30/03/2019 00:00;2773;2294
30/03/2019 01:00;1950;2329
30/03/2019 02:00;2793;2261
30/03/2019 03:00;2795;2498
